0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000,10100,10200,10300,10400,10500,10600,10700,10800,10900,11000,11100,11200,11300,11400,11500,11600,11700,11800,11900,12000,12100,12200,12300,12400,12500,12600,12700,12800,12900,13000,13100,13200,13300,13400,13500,13600,13700,13800,13900,14000,14100,14200,14300,14400,14500,14600,14700,14800,14900,15000,15100,15200,15300,15400,15500,15600,15700,15800,15900,16000,16100,16200,16300,16400,16500,16600,16700,16800,16900,17000,17100,17200,17300,17400,17500,17600,17700,17800,17900,18000,18100,18200,18300,18400,18500,18600,18700,18800,18900,19000,19100,19200,19300,19400,19500,19600,19700,19800,19900,20000,20100,20200,20300,20400,20500,20600,20700,20800,20900,21000,21100,21200,21300,21400,21500,21600,21700,21800,21900,22000,22100,22200,22300,22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23700,23800,23900,24000,24100,24200,24300,24400,24500,24600,24700,24800,24900,25000,25100,25200,25300,25400,25500,25600,25700,25800,25900,26000,26100,26200,26300,26400,26500,26600,26700,26800,26900,27000,27100,27200,27300,27400,27500,27600,27700,27800,27900,28000,28100,28200,28300,28400,28500,28600,28700,28800,28900,29000,29100,29200,29300,29400,29500,29600,29700,29800,29900,30000,30100,30200,30300,30400,30500,30600,30700,30800,30900,31000,31100,31200,31300,31400,31500,31600,31700,31800,31900,32000,32100,32200,32300,32400,32500,32600,32700,32800,32900,33000,33100,33200,33300,33400,33500,33600,33700,33800,33900,34000,34100,34200,34300,34400,34500,34600,34700,34800,34900,35000,35100,35200,35300,35400,35500,35600,35700,35800,35900,36000,36100,36200,36300,36400,36500,36600,36700,36800,36900,37000,37100,37200,37300,37400,37500,37600,37700,37800,37900,38000,38100,38200,38300,38400,38500,38600,38700,38800,38900,39000,39100,39200,39300,39400,39500,39600,39700,39800,39900,40000,40100,40200,40300,40400,40500,40600,40700,40800,40900,41000,41100,41200,41300,41400,41500,41600,41700,41800,41900,42000,42100,42200,42300,42400,42500,42600,42700,42800,42900,43000,43100,43200,43300,43400,43500,43600,43700,43800,43900,44000,44100,44200,44300,44400,44500,44600,44700,44800,44900,
6065.202148,4.59916687,4.400901318,4.324310303,4.186086655,4.036960602,3.920361519,3.887857437,3.852764606,3.855219841,3.801395655,3.813115597,3.68461132,3.629864454,3.71884346,3.643848419,3.583926678,3.506459236,3.415470123,3.298805237,3.303777933,3.255253792,3.393669128,3.239965916,3.264223576,3.177256107,3.249495029,3.285203695,3.221144915,3.166194677,3.310970306,3.018663883,3.158073902,3.13569212,3.02477932,3.112635136,2.982162952,2.775389194,2.923211098,2.950798512,2.998929262,2.78161335,2.724699974,2.718050957,2.590684414,2.656022072,2.60450983,2.749622345,2.552073002,2.811927319,2.722092152,2.831709623,2.554637194,2.63922596,2.625385046,2.778006554,2.519878149,2.378130436,2.509740829,2.641656399,2.533895016,2.615296841,2.607203722,2.505488396,2.256001472,2.634101629,2.579274654,2.445206642,2.351100445,2.565535545,2.396029234,2.350633144,2.322331905,2.218019009,2.481697798,2.09426713,2.335346699,2.25507021,2.183614492,2.072618008,2.280848503,2.223637104,2.071959019,2.153608799,2.073237419,2.269816637,2.144090652,2.127027512,2.113576174,2.052267075,2.024510384,2.013391495,2.146711111,1.970175505,2.119931936,1.981995583,1.755351782,2.14690876,2.124845266,2.026675224,2.120156765,1.885312676,2.064130783,2.013468981,2.035797596,1.861518383,1.991075039,2.025852203,1.981971979,1.991578221,1.798685312,1.869208932,1.932284951,2.044943094,2.190959454,1.871801853,1.743968606,1.918281794,1.888088822,2.035608292,1.912973166,1.911312103,1.874120355,1.875859261,1.946048021,1.848709941,1.713181734,1.710975409,1.936412454,1.609923601,1.790676117,1.659470081,1.787582636,1.815865278,1.766526699,1.685049534,1.622632265,1.808670759,1.663398981,1.905108452,1.665869713,1.726518631,1.699266195,1.702920318,1.623584509,1.674320459,1.67169857,1.711850047,1.763779879,1.616465092,1.64565587,1.663290024,1.597212791,1.899054766,1.551413059,1.817350388,1.752035379,1.74001956,1.529702187,1.462417364,1.666792154,1.589876056,1.554498911,1.707611561,1.658110499,1.724835515,1.554602981,1.668820143,1.670131207,1.510745764,1.499305964,1.599479914,1.45017457,1.372321486,1.70595026,1.641759157,1.660990357,1.3347404,1.689460516,1.599962473,1.697913527,1.427797079,1.368778229,1.434288979,1.621693254,1.614485145,1.452321172,1.60246098,1.44554019,1.270296097,1.681127071,1.625249624,1.62141037,1.28449893,1.712218165,1.466385841,1.467166424,1.396059036,1.391647577,1.548129439,1.30002284,1.37731421,1.505970001,1.469724536,1.403290153,1.543658018,1.453234434,1.404382944,1.324154973,1.451620579,1.595031738,1.348905325,1.440379381,1.484395266,1.408414483,1.454081059,1.453820229,1.415504336,1.440170288,1.478788137,1.404061317,1.227000475,1.440775275,1.451430917,1.562690496,1.440159798,1.405902028,1.546981335,1.284192562,1.408575177,1.307008982,1.527248144,1.4204005,1.583324909,1.445676327,1.301206112,1.412322521,1.419894576,1.560039997,1.546738505,1.388400555,1.368870139,1.377457261,1.458660603,1.685684681,1.555683136,1.367554188,1.312327147,1.361682177,1.461352944,1.462822676,1.424663424,1.281795979,1.55377996,1.179505229,1.436666846,1.327559471,1.333528757,1.526400089,1.375095606,1.394808769,1.404145956,1.30464673,1.391953707,1.458937168,1.511933327,1.368505001,1.438081741,1.357929468,1.462378979,1.446390629,1.332948446,1.491859674,1.507385492,1.361094713,1.470409036,1.360174894,1.367040396,1.582761049,1.479294777,1.530092597,1.475999832,1.49016881,1.308260441,1.221750021,1.436999798,1.27192378,1.343423247,1.364994764,1.437781334,1.470575213,1.368390083,1.098710179,1.428555965,1.35039115,1.312957287,1.374406099,1.261824965,1.227077246,1.291348577,1.519586325,1.478755951,1.277858615,1.431902528,1.326818943,1.56835103,1.279122114,1.248583555,1.325765252,1.489537477,1.451286912,1.339462996,1.269352913,1.459091425,1.332636714,1.437393904,1.456727862,1.457536578,1.297418118,1.386704683,1.254347801,1.386040092,1.30897069,1.304314613,1.322087765,1.28751874,1.258934259,1.362247467,1.354990363,1.212122083,1.443222284,1.565196991,1.412586451,1.215924501,1.269966841,1.595096231,1.330518961,1.36655426,1.214969158,1.24936986,1.317831516,1.393435001,1.378417015,1.238970041,1.444640398,1.360638857,1.107310534,1.393985152,1.370108366,1.253851533,1.419703245,1.158725858,1.419814587,1.199874878,1.473810673,1.276469588,1.23032248,1.31651175,1.333204508,1.462108254,1.226035595,1.450149059,1.294901252,1.346353292,1.554384232,1.257685184,1.271550417,1.320879221,1.334517002,1.551376939,1.442462206,1.34182024,1.158263683,1.320505381,1.574954391,1.408251762,1.373829365,1.307685733,1.411329508,1.120960236,1.479643226,1.229813337,1.286545038,1.435382605,1.573160291,1.418913126,1.35882318,1.275938392,1.227777719,1.44020772,1.390853643,1.404376745,1.401023507,1.3055861,1.235813379,1.500265002,1.425411701,1.313910723,1.3483392,1.428173661,1.290085316,1.271280766,1.383882999,1.551995754,1.316382527,1.379765034,1.482082129,1.431078434,1.274811268,1.194797039,1.556437612,1.300917745,1.267786145,1.2943995,1.307828188,1.449617863,1.353525996,1.236234426,1.240556955,1.306619167,1.37372756,1.289728403,1.184479356,1.306531549,1.352349281,1.342125773,1.379156709,1.266573071,1.482149243,1.263995409,1.451008558,1.327134132,1.296827197,1.18200922,1.486387253,1.457344651,1.308478594,1.413177252,1.428279519,1.159184933,1.455379963,1.56789732,1.439925551,1.301092148,1.352911711,1.239788771,1.295176029,1.234797478,1.303953171,1.291836619,1.098710179
0.00390625,0.0078125,0.02734375,0.0546875,0.0859375,0.078125,0.10546875,0.08203125,0.078125,0.078125,0.09765625,0.125,0.1328125,0.15234375,0.12890625,0.140625,0.140625,0.18359375,0.1875,0.2109375,0.16796875,0.20703125,0.1953125,0.203125,0.19921875,0.20703125,0.20703125,0.234375,0.21875,0.25,0.17578125,0.25390625,0.23046875,0.26953125,0.27734375,0.2421875,0.2421875,0.28125,0.25,0.2890625,0.27734375,0.28125,0.30859375,0.30078125,0.3125,0.31640625,0.3828125,0.3359375,0.3828125,0.296875,0.31640625,0.296875,0.3828125,0.31640625,0.34375,0.30078125,0.3203125,0.4140625,0.3515625,0.390625,0.32421875,0.31640625,0.30859375,0.3671875,0.375,0.3203125,0.3359375,0.375,0.375,0.3203125,0.3828125,0.38671875,0.4453125,0.4453125,0.3203125,0.453125,0.40234375,0.39453125,0.40234375,0.43359375,0.390625,0.42578125,0.4296875,0.4375,0.47265625,0.40625,0.44140625,0.44140625,0.42578125,0.43359375,0.46875,0.4453125,0.42578125,0.48046875,0.43359375,0.5,0.51171875,0.4140625,0.453125,0.48046875,0.421875,0.48828125,0.421875,0.46484375,0.46875,0.47265625,0.45703125,0.46484375,0.48046875,0.48828125,0.49609375,0.4765625,0.484375,0.421875,0.42578125,0.48046875,0.54296875,0.4921875,0.515625,0.44140625,0.46875,0.4609375,0.453125,0.5,0.46875,0.5,0.546875,0.53515625,0.484375,0.55078125,0.50390625,0.55078125,0.51171875,0.50390625,0.5078125,0.5234375,0.5390625,0.53515625,0.5546875,0.5234375,0.515625,0.5390625,0.5078125,0.55859375,0.55078125,0.55078125,0.515625,0.55078125,0.51953125,0.55859375,0.57421875,0.5390625,0.5703125,0.4765625,0.58203125,0.53515625,0.53125,0.51953125,0.57421875,0.57421875,0.5546875,0.546875,0.5625,0.57421875,0.51171875,0.5234375,0.578125,0.5546875,0.53125,0.578125,0.6015625,0.53515625,0.59765625,0.6328125,0.52734375,0.5703125,0.52734375,0.5859375,0.51171875,0.5390625,0.53125,0.6171875,0.609375,0.5859375,0.546875,0.5703125,0.54296875,0.55078125,0.609375,0.62109375,0.51171875,0.546875,0.54296875,0.6328125,0.515625,0.57421875,0.5703125,0.63671875,0.6328125,0.5625,0.64453125,0.640625,0.58984375,0.625,0.578125,0.56640625,0.60546875,0.6015625,0.625,0.609375,0.5390625,0.6171875,0.57421875,0.5859375,0.61328125,0.58203125,0.59375,0.578125,0.59765625,0.58984375,0.59765625,0.640625,0.60546875,0.60546875,0.57421875,0.60546875,0.59375,0.578125,0.6484375,0.62890625,0.6328125,0.5546875,0.578125,0.57421875,0.58984375,0.62890625,0.58984375,0.59765625,0.5546875,0.546875,0.5703125,0.609375,0.625,0.58984375,0.55078125,0.56640625,0.640625,0.640625,0.64453125,0.609375,0.56640625,0.59375,0.66796875,0.58984375,0.6796875,0.6015625,0.6328125,0.640625,0.5703125,0.62109375,0.6328125,0.578125,0.6015625,0.56640625,0.5703125,0.58203125,0.63671875,0.58203125,0.62890625,0.59765625,0.59375,0.62890625,0.58984375,0.6015625,0.6171875,0.58984375,0.59375,0.609375,0.54296875,0.5859375,0.55078125,0.515625,0.5703125,0.63671875,0.6640625,0.58203125,0.61328125,0.609375,0.5625,0.60546875,0.6328125,0.62890625,0.6953125,0.58203125,0.59765625,0.625,0.6328125,0.6484375,0.65625,0.625,0.578125,0.578125,0.609375,0.58984375,0.60546875,0.578125,0.62109375,0.65625,0.64453125,0.58203125,0.5703125,0.625,0.65625,0.60546875,0.640625,0.6015625,0.5859375,0.56640625,0.62890625,0.58203125,0.609375,0.6015625,0.65234375,0.65234375,0.6328125,0.6328125,0.68359375,0.60546875,0.6015625,0.6484375,0.609375,0.57421875,0.62890625,0.64453125,0.6640625,0.54296875,0.6328125,0.640625,0.6640625,0.6171875,0.59765625,0.60546875,0.6171875,0.62109375,0.5859375,0.59765625,0.6953125,0.578125,0.57421875,0.6328125,0.60546875,0.6484375,0.609375,0.65625,0.57421875,0.62890625,0.640625,0.640625,0.625,0.6328125,0.6640625,0.58984375,0.63671875,0.59375,0.5625,0.65625,0.62109375,0.609375,0.59765625,0.57421875,0.6015625,0.6171875,0.64453125,0.63671875,0.59375,0.58984375,0.58203125,0.61328125,0.66015625,0.68359375,0.5703125,0.66796875,0.6171875,0.5859375,0.58203125,0.55859375,0.58984375,0.64453125,0.640625,0.58984375,0.59765625,0.609375,0.609375,0.640625,0.65234375,0.57421875,0.59375,0.65234375,0.59375,0.59765625,0.59375,0.65234375,0.62109375,0.578125,0.55078125,0.62109375,0.5625,0.56640625,0.640625,0.640625,0.5546875,0.640625,0.6328125,0.62890625,0.6015625,0.625,0.625,0.640625,0.65234375,0.62109375,0.64453125,0.640625,0.62890625,0.63671875,0.62890625,0.6171875,0.62890625,0.62890625,0.5703125,0.6484375,0.609375,0.609375,0.61328125,0.68359375,0.6015625,0.5859375,0.640625,0.5859375,0.58203125,0.671875,0.578125,0.53515625,0.58203125,0.609375,0.578125,0.66015625,0.6484375,0.6171875,0.6015625,0.62890625,0.6953125
-1.4782E-05,-1.27554E-05,-3.98159E-05,-3.71933E-05,-3.3021E-05,-3.14713E-05,-3.38554E-05,-3.3021E-05,-3.38554E-05,-2.80142E-05,-2.7895E-05,-2.89679E-05,-3.23057E-05,-3.1352E-05,-2.8491E-05,-3.09944E-05,-2.71797E-05,-3.11136E-05,-2.75373E-05,-3.05176E-05,-2.74181E-05,-2.90871E-05,-2.70605E-05,-3.15905E-05,-2.71797E-05,-2.95639E-05,-2.81334E-05,-3.08752E-05,-2.81334E-05,-2.82526E-05,-2.75373E-05,-2.92063E-05,-2.52724E-05,-3.09944E-05,-3.00407E-05,-3.26633E-05,-3.0756E-05,-3.34978E-05,-3.23057E-05,-3.55244E-05,-9.53674E-06,-9.05991E-06,-1.0252E-05,-1.26362E-05,-1.18017E-05,-1.09673E-05,-1.09673E-05,-1.32322E-05,-1.40667E-05,-1.0252E-05,-1.14441E-05,-1.21593E-05,-1.33514E-05,-1.37091E-05,-1.28746E-05,-1.29938E-05,-1.46627E-05,-1.45435E-05,-1.50204E-05,-1.52588E-05,-1.46627E-05,-1.40667E-05,-1.5378E-05,-1.64509E-05,-1.66893E-05,-1.54972E-05,-1.54972E-05,-1.80006E-05,-1.60933E-05,-1.78814E-05,-1.66893E-05,-1.74046E-05,-1.87159E-05,-1.8239E-05,-1.91927E-05,-1.97887E-05,-1.83582E-05,-2.01464E-05,-2.06232E-05,-6.4373E-06,-6.4373E-06,-7.03335E-06,-6.67572E-06,-6.79493E-06,-7.15256E-06,-7.27177E-06,-7.03335E-06,-7.27177E-06,-7.39098E-06,-7.51019E-06,-7.7486E-06,-8.34465E-06,-7.39098E-06,-7.98702E-06,-7.98702E-06,-7.98702E-06,-8.22544E-06,-8.46386E-06,-9.05991E-06,-8.9407E-06,-9.05991E-06,-8.46386E-06,-9.41753E-06,-9.77516E-06,-9.17912E-06,-1.00136E-05,-9.65595E-06,-1.01328E-05,-1.0252E-05,-1.03712E-05,-1.0252E-05,-1.03712E-05,-9.89437E-06,-1.00136E-05,-1.06096E-05,-1.07288E-05,-1.01328E-05,-1.0252E-05,-3.45707E-06,-3.33786E-06,-3.57628E-06,-3.45707E-06,-3.45707E-06,-3.69549E-06,-3.69549E-06,-3.93391E-06,-3.69549E-06,-3.69549E-06,-3.93391E-06,-3.57628E-06,-3.8147E-06,-3.69549E-06,-3.8147E-06,-3.8147E-06,-3.69549E-06,-3.93391E-06,-3.8147E-06,-3.69549E-06,-3.8147E-06,-3.8147E-06,-4.05312E-06,-4.05312E-06,-4.29153E-06,-4.05312E-06,-4.17233E-06,-4.05312E-06,-4.05312E-06,-4.41074E-06,-4.41074E-06,-3.93391E-06,-4.41074E-06,-4.05312E-06,-4.17233E-06,-4.17233E-06,-4.05312E-06,-3.8147E-06,-4.17233E-06,-1.43051E-06,-1.66893E-06,-1.66893E-06,-1.54972E-06,-1.43051E-06,-1.54972E-06,-1.43051E-06,-1.54972E-06,-1.54972E-06,-1.66893E-06,-1.66893E-06,-1.54972E-06,-1.54972E-06,-1.54972E-06,-1.66893E-06,-1.54972E-06,-1.54972E-06,-1.43051E-06,-1.66893E-06,-1.54972E-06,-1.66893E-06,-1.66893E-06,-1.54972E-06,-1.66893E-06,-1.66893E-06,-1.54972E-06,-1.43051E-06,-1.66893E-06,-1.43051E-06,-1.54972E-06,-1.78814E-06,-1.66893E-06,-1.78814E-06,-1.43051E-06,-1.78814E-06,-1.43051E-06,-1.54972E-06,-1.54972E-06,-1.54972E-06,-8.34465E-07,-5.96046E-07,-7.15256E-07,-5.96046E-07,-5.96046E-07,-7.15256E-07,-7.15256E-07,-7.15256E-07,-5.96046E-07,-7.15256E-07,-7.15256E-07,-7.15256E-07,-7.15256E-07,-7.15256E-07,-5.96046E-07,-5.96046E-07,-7.15256E-07,-7.15256E-07,-5.96046E-07,-7.15256E-07,-5.96046E-07,-7.15256E-07,-5.96046E-07,-5.96046E-07,-7.15256E-07,-5.96046E-07,-5.96046E-07,-7.15256E-07,-5.96046E-07,-4.76837E-07,-7.15256E-07,-7.15256E-07,-7.15256E-07,-7.15256E-07,-5.96046E-07,-7.15256E-07,-8.34465E-07,-5.96046E-07,-7.15256E-07,-2.38419E-07,-2.38419E-07,-3.57628E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-3.57628E-07,-2.38419E-07,-2.38419E-07,-3.57628E-07,-2.38419E-07,-1.19209E-07,-2.38419E-07,-1.19209E-07,-3.57628E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-3.57628E-07,-3.57628E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-2.38419E-07,-3.57628E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-2.38419E-07,-1.19209E-07,-1.19209E-07,-2.38419E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-2.38419E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-2.38419E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-2.38419E-07,-1.19209E-07,-1.19209E-07,0,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,-1.19209E-07,-1.19209E-07,0,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,0,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,-1.19209E-07,0,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,0,-1.19209E-07,-1.19209E-07,0,0,-1.19209E-07,0,0,-1.19209E-07,0,0,0,0,0,-1.19209E-07,-1.19209E-07,0,-1.19209E-07,0,0,0,0,-1.19209E-07,0,-1.19209E-07,0,-1.19209E-07,-1.19209E-07,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,-1.19209E-07,0,0,-1.19209E-07,0,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,5.96046E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.19209E-07,-1.19209E-07,0,0,0,0,0,0,0,-1.19209E-07,0,0,0,-1.19209E-07,-1.19209E-07,0,-1.19209E-07,-1.19209E-07,0,0,0,0,-1.19209E-07,0,0,0,0,0,0,0,0,0,0,0,-1.19209E-07,0,0,0,-1.19209E-07,0,0,0,0,
