0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000,10100,10200,10300,10400,10500,10600,10700,10800,10900,11000,11100,11200,11300,11400,11500,11600,11700,11800,11900,12000,12100,12200,12300,12400,12500,12600,12700,12800,12900,13000,13100,13200,13300,13400,13500,13600,13700,13800,13900,14000,14100,14200,14300,14400,14500,14600,14700,14800,14900,15000,15100,15200,15300,15400,15500,15600,15700,15800,15900,16000,16100,16200,16300,16400,16500,16600,16700,16800,16900,17000,17100,17200,17300,17400,17500,17600,17700,17800,17900,18000,18100,18200,18300,18400,18500,18600,18700,18800,18900,19000,19100,19200,19300,19400,19500,19600,19700,19800,19900,20000,20100,20200,20300,20400,20500,20600,20700,20800,20900,21000,21100,21200,21300,21400,21500,21600,21700,21800,21900,22000,22100,22200,22300,22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23700,23800,23900,24000,24100,24200,24300,24400,24500,24600,24700,24800,24900,25000,25100,25200,25300,25400,25500,25600,25700,25800,25900,26000,26100,26200,26300,26400,26500,26600,26700,26800,26900,27000,27100,27200,27300,27400,27500,27600,27700,27800,27900,28000,28100,28200,28300,28400,28500,28600,28700,28800,28900,29000,29100,29200,29300,29400,29500,29600,29700,29800,29900,30000,30100,30200,30300,30400,30500,30600,30700,30800,30900,31000,31100,31200,31300,31400,31500,31600,31700,31800,31900,32000,32100,32200,32300,32400,32500,32600,32700,32800,32900,33000,33100,33200,33300,33400,33500,33600,33700,33800,33900,34000,34100,34200,34300,34400,34500,34600,34700,34800,34900,35000,35100,35200,35300,35400,35500,35600,35700,35800,35900,36000,36100,36200,36300,36400,36500,36600,36700,36800,36900,37000,37100,37200,37300,37400,37500,37600,37700,37800,37900,38000,38100,38200,38300,38400,38500,38600,38700,38800,38900,39000,39100,39200,39300,39400,39500,39600,39700,39800,39900,40000,40100,40200,40300,40400,40500,40600,40700,40800,40900,41000,41100,41200,41300,41400,41500,41600,41700,41800,41900,42000,42100,42200,42300,42400,42500,42600,42700,42800,42900,43000,43100,43200,43300,43400,43500,43600,43700,43800,43900,44000,44100,44200,44300,44400,44500,44600,44700,44800,44900,
3357.05957,2.124468803,1.952009678,1.820747733,1.634359837,1.730751038,1.666067362,1.452082872,1.669975758,1.558360815,1.46171546,1.563972712,1.456788182,1.318006992,1.498437047,1.356280327,1.443689585,1.480463147,1.298789978,1.328470945,1.380345106,1.245180845,1.335054159,1.179669261,1.178759336,1.316566467,1.208759069,1.176729679,1.145447016,1.082495689,1.086522102,1.082185745,1.255158901,1.078634501,1.190933466,0.982308269,1.079595685,1.156912565,1.080657959,1.01490593,0.980389953,0.969554901,1.040671587,0.995809436,1.000497222,0.913119137,0.871490598,0.992993951,0.948999882,0.902565002,0.885002911,0.892451108,0.90482825,0.812900305,0.888514698,0.960594356,0.856024265,0.841178954,0.969702244,0.849404454,0.84897995,0.757231951,0.839721262,0.706019044,0.867773652,0.789542139,0.844866872,0.814702511,0.943344474,0.775761664,0.754194856,0.836179316,0.844656229,0.795325637,0.65201813,0.886105776,0.743879139,0.732826233,0.700768828,0.678500175,0.734327257,0.713958979,0.659780681,0.690548062,0.821679354,0.710439205,0.687967181,0.735720992,0.72990787,0.648939371,0.769069195,0.789161325,0.642600894,0.691493988,0.727347791,0.876893282,0.718389809,0.704266369,0.692912459,0.554289222,0.742578506,0.621279836,0.697171092,0.687270463,0.803823948,0.55648011,0.675374091,0.616923332,0.685672402,0.584108412,0.56614852,0.684980512,0.591049552,0.699958682,0.585365295,0.658463359,0.529134274,0.585836053,0.584510863,0.564561605,0.594812274,0.505026937,0.608620286,0.581377387,0.618614793,0.559288144,0.50437665,0.627124548,0.622893512,0.55314064,0.539341331,0.588620663,0.459533513,0.594568908,0.540994346,0.505971789,0.617772102,0.52091229,0.475132465,0.511642873,0.57845819,0.476836592,0.42874974,0.491623461,0.467293561,0.627653182,0.500089884,0.459013164,0.547094166,0.464050472,0.515413821,0.537283421,0.541001081,0.54518795,0.503771722,0.503674984,0.564034343,0.549709082,0.602121174,0.513793349,0.562724411,0.501932561,0.553030968,0.482410729,0.536496758,0.492080003,0.373860657,0.536600232,0.565809548,0.510832131,0.444702446,0.412863076,0.606301069,0.527104795,0.477734268,0.469237596,0.491384566,0.465667188,0.377518952,0.511390448,0.515395641,0.530629635,0.463854849,0.473036468,0.48251003,0.451987505,0.483799756,0.419835448,0.405755222,0.441149712,0.468728304,0.357800245,0.467537016,0.472893715,0.457694888,0.490570396,0.569957137,0.47539854,0.429108769,0.391122282,0.495729446,0.46543473,0.445844799,0.372284651,0.315746725,0.442361653,0.505960345,0.384610891,0.312256932,0.523098052,0.386567146,0.438604295,0.406897575,0.426039517,0.334579349,0.495225042,0.472895354,0.394538432,0.406451821,0.510697067,0.541360915,0.36745584,0.411022902,0.411942571,0.37158373,0.474859715,0.360782981,0.517475724,0.483572751,0.455835193,0.402828336,0.406404942,0.509489,0.421156883,0.322477162,0.46188432,0.393252045,0.39526552,0.441912085,0.35765186,0.425215483,0.363437653,0.392084658,0.391386479,0.363923639,0.384905398,0.380405426,0.477570295,0.408697486,0.452380955,0.299772561,0.407374561,0.470875204,0.382774532,0.353726387,0.43819958,0.404541671,0.472671151,0.424769491,0.408335268,0.375043869,0.443466544,0.385058641,0.478477567,0.364247113,0.438737571,0.431328058,0.388967752,0.438961208,0.328895509,0.479379207,0.390491545,0.436575949,0.368519843,0.36957249,0.434634566,0.45550704,0.265425265,0.401147962,0.358677924,0.426869392,0.416679114,0.473463953,0.4453879,0.48137781,0.464097142,0.407000601,0.531727076,0.432194233,0.444009721,0.384968042,0.322955132,0.400588572,0.423535556,0.404686093,0.37564972,0.367424488,0.489283234,0.501320124,0.358751535,0.377143234,0.43288511,0.374704123,0.360290587,0.38309589,0.376923621,0.439696491,0.385583818,0.33151561,0.399083912,0.360326767,0.390544772,0.366151661,0.323013306,0.369949758,0.467607319,0.349026173,0.396020293,0.320919603,0.342882931,0.505946755,0.455741882,0.385822415,0.40650034,0.381510764,0.467898786,0.379585922,0.327649534,0.3944332,0.33270818,0.33939749,0.349015325,0.346451879,0.418675572,0.470422745,0.348037779,0.380155683,0.385719627,0.401159078,0.383036196,0.473488688,0.385369986,0.384565532,0.422233045,0.430887461,0.46548894,0.404962689,0.385366201,0.428292036,0.363874495,0.502338409,0.363478094,0.402550995,0.374759853,0.397092313,0.377037436,0.337954283,0.360121071,0.384130806,0.324091643,0.334732234,0.450796843,0.35053575,0.425023079,0.35439378,0.437031686,0.326139897,0.331843674,0.392120898,0.399796724,0.433236778,0.410211891,0.406637132,0.379003227,0.327202469,0.364379406,0.379184544,0.355796576,0.425186038,0.297825009,0.389029503,0.422675192,0.417325258,0.408241808,0.437238932,0.308754504,0.405105472,0.365820348,0.36770618,0.377404124,0.411661625,0.35251525,0.36826393,0.458755374,0.3765136,0.38555643,0.45405066,0.344844639,0.379146159,0.324398696,0.390981436,0.370298147,0.454188943,0.405583769,0.306002438,0.417702675,0.43531394,0.447906911,0.411965042,0.394802511,0.423587143,0.331273437,0.519295454,0.453218728,0.361629486,0.415161669,0.300466478,0.430112749,0.434009016,0.440486163,0.399828643,0.410890371,0.376926929,0.505129099,0.394005477,0.448994875,0.292290092,0.373699129,0.272577018,0.416143656,0.415682137,0.42888546,0.39736867,0.395135462,0.350392818,0.442664206,0.446214467,0.415289313,0.319700509,0.338833272,0.38724488,0.434790015,0.388173044,0.348747492,0.424727708,0.389801741,0.475954086,0.496766388,0.31905663,0.330976337,0.265425265
0.08203125,0.15625,0.26953125,0.3203125,0.40625,0.3671875,0.37109375,0.46875,0.4140625,0.41796875,0.46875,0.4609375,0.46484375,0.55078125,0.45703125,0.515625,0.47265625,0.4765625,0.578125,0.5234375,0.55859375,0.55859375,0.5078125,0.59765625,0.59375,0.546875,0.55078125,0.59375,0.61328125,0.59765625,0.640625,0.61328125,0.5390625,0.60546875,0.6015625,0.64453125,0.57421875,0.58984375,0.6015625,0.59765625,0.6640625,0.66796875,0.63671875,0.62109375,0.61328125,0.6640625,0.671875,0.671875,0.68359375,0.671875,0.65234375,0.6875,0.6796875,0.71484375,0.71875,0.69140625,0.67578125,0.6953125,0.6796875,0.71875,0.6875,0.734375,0.74609375,0.734375,0.6875,0.703125,0.703125,0.7265625,0.6796875,0.71484375,0.734375,0.734375,0.71875,0.71875,0.75390625,0.703125,0.75390625,0.76171875,0.76171875,0.77734375,0.76171875,0.75,0.7734375,0.76171875,0.71875,0.765625,0.74609375,0.734375,0.765625,0.79296875,0.73828125,0.71875,0.7734375,0.75390625,0.75,0.703125,0.75390625,0.7421875,0.72265625,0.828125,0.73046875,0.80078125,0.7578125,0.7734375,0.6953125,0.80859375,0.76171875,0.7890625,0.765625,0.80859375,0.81640625,0.76953125,0.78125,0.76953125,0.79296875,0.765625,0.80859375,0.77734375,0.7890625,0.8125,0.78515625,0.84375,0.765625,0.796875,0.77734375,0.8046875,0.82421875,0.76171875,0.7421875,0.8046875,0.80859375,0.80859375,0.84375,0.8046875,0.828125,0.80859375,0.796875,0.83203125,0.8515625,0.828125,0.80078125,0.8203125,0.83984375,0.82421875,0.81640625,0.77734375,0.828125,0.81640625,0.81640625,0.8515625,0.828125,0.81640625,0.80859375,0.796875,0.84375,0.83984375,0.8125,0.78125,0.79296875,0.82421875,0.81640625,0.80078125,0.8203125,0.83203125,0.828125,0.8203125,0.8671875,0.7890625,0.828125,0.8203125,0.83203125,0.87890625,0.7890625,0.81640625,0.83203125,0.8359375,0.83203125,0.85546875,0.8671875,0.8125,0.828125,0.78515625,0.8359375,0.83203125,0.828125,0.83203125,0.8515625,0.85546875,0.84375,0.85546875,0.80859375,0.875,0.81640625,0.8203125,0.8359375,0.828125,0.80078125,0.8515625,0.84375,0.84375,0.8359375,0.83203125,0.86328125,0.8671875,0.89453125,0.83203125,0.8203125,0.85546875,0.90234375,0.81640625,0.88671875,0.8046875,0.87109375,0.859375,0.890625,0.84765625,0.83203125,0.86328125,0.86328125,0.83984375,0.796875,0.8828125,0.82421875,0.8359375,0.87109375,0.8203125,0.875,0.8359375,0.859375,0.80859375,0.8671875,0.84765625,0.80078125,0.8515625,0.8671875,0.8203125,0.8671875,0.85546875,0.8359375,0.8515625,0.82421875,0.875,0.83984375,0.86328125,0.87890625,0.859375,0.87890625,0.8203125,0.8515625,0.84375,0.90234375,0.8828125,0.828125,0.87109375,0.86328125,0.84765625,0.8671875,0.8359375,0.8515625,0.87109375,0.86328125,0.84375,0.86328125,0.859375,0.8828125,0.84375,0.859375,0.84375,0.8359375,0.859375,0.8203125,0.86328125,0.83203125,0.8828125,0.890625,0.83984375,0.85546875,0.91015625,0.86328125,0.875,0.8515625,0.8359375,0.84375,0.85546875,0.82421875,0.828125,0.8515625,0.80859375,0.8515625,0.87109375,0.83984375,0.890625,0.87109375,0.828125,0.8671875,0.859375,0.859375,0.82421875,0.8359375,0.85546875,0.87109375,0.86328125,0.8671875,0.890625,0.88671875,0.89453125,0.85546875,0.859375,0.8828125,0.859375,0.8515625,0.859375,0.88671875,0.88671875,0.8671875,0.8203125,0.875,0.87109375,0.88671875,0.89453125,0.82421875,0.82421875,0.875,0.8671875,0.85546875,0.8515625,0.8515625,0.90234375,0.86328125,0.890625,0.890625,0.87109375,0.875,0.8671875,0.83984375,0.86328125,0.8515625,0.8671875,0.87109375,0.859375,0.81640625,0.84375,0.8671875,0.84375,0.859375,0.8515625,0.84765625,0.8671875,0.83984375,0.88671875,0.8203125,0.859375,0.86328125,0.8828125,0.859375,0.85546875,0.890625,0.8828125,0.875,0.88671875,0.8828125,0.86328125,0.87109375,0.84765625,0.8671875,0.859375,0.88671875,0.90234375,0.86328125,0.84375,0.84375,0.87109375,0.859375,0.8671875,0.8828125,0.89453125,0.83984375,0.87890625,0.84765625,0.89453125,0.84765625,0.8515625,0.8515625,0.8515625,0.8359375,0.8984375,0.875,0.9140625,0.8828125,0.87890625,0.86328125,0.890625,0.87109375,0.86328125,0.87890625,0.87890625,0.87109375,0.8671875,0.80859375,0.90234375,0.8671875,0.87890625,0.82421875,0.859375,0.8984375,0.859375,0.83203125,0.859375,0.86328125,0.8828125,0.83984375,0.8828125,0.8125,0.82421875,0.890625,0.84765625,0.8984375,0.84765625,0.8515625,0.85546875,0.859375,0.8671875,0.88671875,0.8203125,0.85546875,0.83984375,0.90234375,0.88671875,0.91796875,0.84765625,0.85546875,0.83984375,0.8828125,0.8671875,0.87890625,0.828125,0.83984375,0.86328125,0.890625,0.875,0.84765625,0.85546875,0.85546875,0.8828125,0.8203125,0.8671875,0.828125,0.828125,0.8828125,0.8828125,0.91796875
-2.57492E-05,-2.46763E-05,-3.20673E-05,-2.75373E-05,-2.99215E-05,-2.47955E-05,-2.2769E-05,-2.6226E-05,-1.88351E-05,-2.53916E-05,-1.95503E-05,-1.95503E-05,-2.30074E-05,-2.45571E-05,-1.32322E-05,-2.19345E-05,-1.5974E-05,-2.22921E-05,-2.25306E-05,-1.95503E-05,-1.96695E-05,-2.34842E-05,-1.5974E-05,-2.37226E-05,-1.78814E-05,-1.83582E-05,-2.09808E-05,-1.74046E-05,-1.39475E-05,-1.81198E-05,-1.95503E-05,-1.85966E-05,-1.63317E-05,-1.75238E-05,-1.69277E-05,-2.06232E-05,-2.25306E-05,-2.15769E-05,-1.74046E-05,-2.03848E-05,-6.07967E-06,-7.51019E-06,-5.96046E-06,-4.29153E-06,-6.19888E-06,-6.31809E-06,-8.70228E-06,-1.0252E-05,-8.22544E-06,-1.0252E-05,-7.62939E-06,-8.70228E-06,-8.70228E-06,-8.34465E-06,-9.41753E-06,-6.31809E-06,-1.04904E-05,-8.34465E-06,-8.22544E-06,-6.55651E-06,-7.03335E-06,-9.05991E-06,-1.23978E-05,-9.65595E-06,-8.22544E-06,-8.34465E-06,-7.62939E-06,-9.65595E-06,-8.9407E-06,-5.96046E-06,-9.17912E-06,-8.82149E-06,-5.72205E-06,-9.41753E-06,-1.16825E-05,-1.00136E-05,-8.82149E-06,-1.01328E-05,-1.01328E-05,-3.57628E-06,-3.21865E-06,-2.6226E-06,-2.98023E-06,-2.86102E-06,-2.74181E-06,-4.17233E-06,-3.45707E-06,-5.00679E-06,-3.69549E-06,-4.52995E-06,-4.41074E-06,-4.17233E-06,-6.4373E-06,-3.8147E-06,-3.69549E-06,-3.21865E-06,-4.52995E-06,-4.17233E-06,-5.84126E-06,-5.60284E-06,-4.76837E-06,-5.60284E-06,-4.88758E-06,-5.24521E-06,-4.05312E-06,-4.52995E-06,-5.48363E-06,-5.24521E-06,-5.48363E-06,-5.96046E-06,-6.07967E-06,-3.69549E-06,-4.52995E-06,-5.60284E-06,-4.29153E-06,-4.05312E-06,-6.19888E-06,-6.4373E-06,-1.3113E-06,-2.02656E-06,-1.19209E-06,-1.66893E-06,-2.26498E-06,-2.26498E-06,-1.90735E-06,-1.90735E-06,-2.26498E-06,-1.66893E-06,-2.02656E-06,-2.26498E-06,-2.86102E-06,-2.38419E-06,-2.74181E-06,-2.86102E-06,-2.74181E-06,-2.74181E-06,-2.5034E-06,-2.02656E-06,-2.98023E-06,-2.5034E-06,-2.6226E-06,-2.74181E-06,-3.09944E-06,-3.33786E-06,-2.74181E-06,-2.14577E-06,-3.21865E-06,-3.33786E-06,-3.09944E-06,-3.21865E-06,-3.21865E-06,-3.21865E-06,-2.02656E-06,-2.5034E-06,-2.86102E-06,-3.21865E-06,-2.6226E-06,-1.07288E-06,-1.3113E-06,-1.19209E-06,-8.34465E-07,-9.53674E-07,-1.19209E-06,-9.53674E-07,-1.19209E-06,-7.15256E-07,-1.19209E-06,-1.43051E-06,-9.53674E-07,-1.07288E-06,-1.3113E-06,-1.54972E-06,-9.53674E-07,-1.54972E-06,-1.19209E-06,-1.43051E-06,-1.54972E-06,-1.43051E-06,-1.19209E-06,-1.19209E-06,-1.19209E-06,-1.43051E-06,-1.43051E-06,-9.53674E-07,-1.43051E-06,-1.19209E-06,-9.53674E-07,-1.07288E-06,-1.3113E-06,-1.54972E-06,-1.43051E-06,-1.43051E-06,-9.53674E-07,-1.07288E-06,-1.07288E-06,-9.53674E-07,-3.57628E-07,-5.96046E-07,-5.96046E-07,-4.76837E-07,-3.57628E-07,-3.57628E-07,-4.76837E-07,-5.96046E-07,-3.57628E-07,-4.76837E-07,-3.57628E-07,-3.57628E-07,-4.76837E-07,-5.96046E-07,-5.96046E-07,-5.96046E-07,-7.15256E-07,-3.57628E-07,-8.34465E-07,-3.57628E-07,-5.96046E-07,-5.96046E-07,-4.76837E-07,-3.57628E-07,-5.96046E-07,-5.96046E-07,-4.76837E-07,-8.34465E-07,-3.57628E-07,-5.96046E-07,-5.96046E-07,-4.76837E-07,-5.96046E-07,-5.96046E-07,-3.57628E-07,-4.76837E-07,-4.76837E-07,-5.96046E-07,-7.15256E-07,-2.38419E-07,-2.38419E-07,-1.19209E-07,-1.19209E-07,-3.57628E-07,-1.19209E-07,-2.38419E-07,-3.57628E-07,-3.57628E-07,-4.76837E-07,-2.38419E-07,-2.38419E-07,-3.57628E-07,-2.38419E-07,-1.19209E-07,-3.57628E-07,-3.57628E-07,-2.38419E-07,-3.57628E-07,-2.38419E-07,-3.57628E-07,-1.19209E-07,-2.38419E-07,-2.38419E-07,-1.19209E-07,-3.57628E-07,-3.57628E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-2.38419E-07,-3.57628E-07,-1.19209E-07,-2.38419E-07,-1.19209E-07,-3.57628E-07,-3.57628E-07,-2.38419E-07,-3.57628E-07,-1.19209E-07,0,-1.19209E-07,0,-1.19209E-07,-2.38419E-07,-1.19209E-07,-1.19209E-07,0,0,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,-1.19209E-07,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,0,0,-2.38419E-07,0,0,0,-1.19209E-07,-1.19209E-07,0,-1.19209E-07,0,-1.19209E-07,0,0,0,-1.19209E-07,-1.19209E-07,0,0,0,0,-1.19209E-07,0,-1.19209E-07,0,0,-1.19209E-07,0,-1.19209E-07,0,-1.19209E-07,0,0,-1.19209E-07,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,0,0,0,0,0,0,-1.19209E-07,-1.19209E-07,0,0,0,0,0,0,-1.19209E-07,0,0,-1.19209E-07,0,0,0,0,-1.19209E-07,0,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,0,0,0,0,0,0,0,-1.19209E-07,0,0,-1.19209E-07,-1.19209E-07,0,0,0,-1.19209E-07,0,0,0,0,0,0,0,0,0,0,0,5.96046E-08,0,0,0,0,0,0,0,0,-1.19209E-07,-1.19209E-07,-1.19209E-07,0,0,0,0,5.96046E-08,0,0,0,0,0,0,0,-1.19209E-07,0,0,0,0,0,0,0,0,0,
